name	lat	long
ATHENEE ROYAL ERNEST SOLVAY	50.4077787	4.4511045
ATHENEE ROYAL VAUBAN	50.41180305	4.4474600668784765
CENTRE EDUCATIF COMMUNAL SECONDAIRE "LA GARENNE"	50.4254252	4.4497731
CENTRE SCOLAIRE DU SACRE-COEUR	50.4096636	4.4460998
COLLEGE DES AUMONIERS DU TRAVAIL DE CHARLEROI	50.4186093	4.4541403
INSTITUT D'ENSEIGNEMENT TECHNIQUE NOTRE-DAME	50.41312035	4.447861265514286
INSTITUT NOTRE-DAME	50.4058907	4.4457635
INSTITUT SAINT-ANDRE	50.4091359	4.4504859
INSTITUT SAINT-JOSEPH	50.4100569	4.440358869648619
Université du Travail - Institut Jean Jaurès	50.4183924	4.4475853
Université du Travail - Institut d'enseignement technique secondaire	50.4138311	4.4437216
ATHENEE ROYAL JULES DESTREE	50.39618095	4.448915316785152
Centre éducatif communal secondaire de Couillet-Marcinelle	50.3796391	4.4659711
COLLEGE DE L'ALLIANCE	50.4067422	4.3773453
ATHENEE ROYAL ORSINI DEWERPE	50.4389958	4.4288193
CENTRE SCOLAIRE SAINT-JOSEPH - NOTRE-DAME	50.4347466	4.4166177
ATHENEE ROYAL LES MARLAIRES	50.473956	4.4337343
Collège Saint-Michel	50.4604768	4.4295666
Institut Sainte-Anne	50.4654395	4.4301985
Institut de la Providence Humanités	50.4698374	4.4328706
ATHENEE ROYAL GILLY	50.42369145	4.475865742575464
LYCEE MIXTE FRANCOIS DE SALES	50.4276588	4.4781205
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL LA SAMARITAINE	50.4201431	4.4621687
ATHENEE ROYAL LOUIS DELATTRE	50.4112981	4.3192274
INSTITUT SAINTE-MARIE	50.4107082	4.3159544
ATHENEE ROYAL PIERRE PAULUS	50.4055363	4.5310448
ATHENEE ROYAL RENE MAGRITTE	50.4066815	4.5268791
INSTITUT SAINT-JOSEPH	50.4052821	4.526818328589484
INSTITUT SAINTE-MARIE	50.4049223	4.5225088
COLLEGE SAINT PIE X	50.4125565	4.5196454
INSTITUT SAINTE-MARIE	50.5379007	4.416171
ATHENEE ROYAL JOURDAN	50.4736938	4.557342
INSTITUT NOTRE-DAME	50.4852895	4.5512755
ATHENEE ROYAL PONT-A-CELLES	50.5097621	4.366292
INSTITUT NOTRE-DAME DE LOVERVAL	50.3620068	4.4695754
ATHENEE ROYAL DE CHIMAY	50.0491214	4.317312
COLLEGE SAINT-JOSEPH	50.05139315	4.324100300611188
INSTITUT NOTRE-DAME	50.05139315	4.324100300611188
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DAVID LACHMAN	50.1434578	4.279671
ATHENEE ROYAL SIMONE VEIL	50.2393323	4.2430375
ATHENEE ROYAL THUIN	50.3403442	4.2932859
INSTITUT NOTRE-DAME	50.339226	4.2920698
ECOLE D'ARTS ET METIERS	50.3061375	4.113468
