name	lat	long
Ecole communale fondamentale	50.447626	3.947825
Ecole communale fondamentale	50.4500029	3.9549628
Ecole communale fondamentale	50.4500453	3.9460126
Ecole communale fondamentale	50.45843540000001	3.953968
Ecole communale fondamentale du Trieu	50.44053960000001	3.9455567
Ecole fondamentale annexée Marguerite Bervoets Mons	50.46219139999999	3.956918
Ecole fondamentale annexée Mons 1	50.4531867	3.9454674
Ecole fondamentale du Sacré-C?ur	50.45638779999999	3.9484916
Ecole maternelle Saint-François des Ursulines	50.4580279	3.9621564
Ecole maternelle Saint-Joseph	50.45403530000001	3.9504272
Ecole maternelle libre Notre-Dame de Messines	50.443897	3.9519299
Ecole primaire du Sacré-Coeur	50.4566297	3.9497888
Ecole primaire libre - Externat Saint-Joseph	50.4535251	3.9491921
Ecole primaire libre Notre-Dame de Messines	50.44423519999999	3.9474752
Ecole primaire libre Sainte-Angèle des Ursulines	50.4580279	3.9621564
Ecole primaire libre Sainte-Elisabeth des Ursulines	50.4580279	3.9621564
Ecole Primaire Shape de la Communauté Française	50.4999349	3.978474
Ecole maternelle - Jardin d'Enfants Shape	50.4999349	3.978474
Ecole fondamentale libre Saint-Louis	50.4742513	3.9028236
Groupe scolaire Barigand - Saint-Denis	50.4756697	3.9051336
Ecole communale fondamentale Robert André	50.4329954	3.8895057
Ecole fondamentale communale Henri Pohl	50.4500869	3.8850354
Ecole fondamentale libre - Institut Notre-Dame	50.4486584	3.888428
Institut Saint-Ferdinand - Ecole fondamentale de Jemappes - Cycle 2,5-8	50.4467173	3.8843166
Institut Saint-Ferdinand - Ecole primaire de Jemappes	50.4466869	3.8830868
Institut Saint-Ferdinand - Section fondamentale de Flenu	50.43670729999999	3.8884198
Ecole fondamentale communale	50.48642299999999	3.9585725
Ecole fondamentale libre Saint-Louis	50.4760516	3.9567902
Ecole communale Centre	50.4616879	4.046204599999999
Ecole fondamentale libre Saint-Joseph	50.4643135	4.0432367
Ecole communale fondamentale d'Harmignies	50.4048926	4.0184232
Ecole communale fondamentale d'Hyon	50.439984	3.9599813
Ecole primaire libre Saint-Joseph de Hyon	50.43809330000001	3.9598684
Ecole fondamentale communale	50.4383509	4.007976
Ecole fondamentale libre	50.4379077	4.0073893
Ecole communale du Centre	50.4367733	3.9226439
Institut Saint-Ferdinand - Section fondamentale de Cuesmes	50.43807200000001	3.9241357
Ecole fondamentale communale du Centre	50.4753544	4.0109949
