name	address
Ecole fondamentale d'enseignement spécialisé de la Communauté française L'Arbre Vert	Chaussée du Roeulx 122, 7000 MONS, Belgium
L'Espérance - Enseignement fondamental spécialisé libre	Rue du Joncquois 120, 7000 MONS, Belgium
Institut provincial d'enseignement spécialisé fondamental	Rue du Temple 2, 7011 GHLIN, Belgium
L'Eau Vive - Enseignement fondamental spécialisé libre	Rue de la Mine 3, 7012 FLENU, Belgium
Centre provincial d'enseignement fondamental spécialisé L'Orée du Bois	Impasse de la Chapelle 40, 7021 HAVRE, Belgium
La Source Enseignement fondamental spécialisé libre	Chaussée du Roeulx 22, 7060 SOIGNIES, Belgium
Institut d'enseignement fondamental spécialisé de la Communauté française La Roseraie	Avenue de la Houssière 100, 7090 BRAINE-LE-COMTE, Belgium
Ecole primaire d'enseignement spécialisé communal Le Clair Logis	Rue de Baume 114, 7100 LA LOUVIERE, Belgium
Enseignement spécialisé primaire libre Le Piolet	Rue de la Franco-Belge 55, 7100 LA LOUVIERE, Belgium
Enseignement spécialisé primaire de la Communauté française L'envolée	Rue du Pensionnat 20, 7110 HOUDENG-AIMERIES, Belgium
Institut médico-pédagogique provincial René Thone La Louvière	Rue du Temple 3-5, 7100 LA LOUVIERE, Belgium
Enseignement primaire spécialisé libre Ecole Régionale	Rue de Clerfayt 104, 7131 WAUDREZ, Belgium
Le Plein Air Enseignement fondamental spécialisé libre	Rue du Berchon 163, 7340 WASMES, Belgium
Etablissement d'enseignement spécialisé fondamental de la Communauté française	Rue du Plat Rie 345, 7390 QUAREGNON, Belgium
