name	address
<td>Centre provincial d'enseignement fondamental spécialisé L'Orée du Bois	Avenue Baud. de Constantinople 5, 7000 MONS, Belgium
<td>Centre provincial d'enseignement fondamental spécialisé L'Orée du Bois	Boulevard Président Kennedy 2, 7000 MONS, Belgium
<td>Ecole fondamentale d'enseignement spécialisé de la Communauté française L'Arbre Vert	Chaussée du Roeulx 122, 7000 MONS, Belgium
<td>Centre provincial d'enseignement spécialisé à Mons	Chemin du Chêne aux haies 24, 7000 MONS, Belgium
<td>L'Espérance - Enseignement fondamental spécialisé libre	Rue du Joncquois 120, 7000 MONS, Belgium
<td>Institut provincial d'enseignement spécialisé fondamental	Rue du Temple 2, 7011 GHLIN, Belgium
<td>L'Eau Vive - Enseignement fondamental spécialisé libre	Rue de la Mine 3, 7012 FLENU, Belgium
<td>L'Espérance - Enseignement fondamental spécialisé libre	Rue du Docteur Liénard 4, 7012 JEMAPPES, Belgium
<td>Centre provincial d'enseignement fondamental spécialisé L'Orée du Bois	Impasse de la Chapelle 40, 7021 HAVRE, Belgium
<td>La Source Enseignement fondamental spécialisé libre	Chaussée du Roeulx 22, 7060 SOIGNIES, Belgium
<td>Institut d'enseignement fondamental spécialisé de la Communauté française La Roseraie	Chemin de l'Epinois 61, 7060 SOIGNIES, Belgium
<td>Institut d'enseignement fondamental spécialisé de la Communauté française La Roseraie	Avenue de la Houssière 100, 7090 BRAINE-LE-COMTE, Belgium
<td>Enseignement spécialisé primaire libre Le Piolet	Avenue Max Buset 34, 7100 LA LOUVIERE, Belgium
<td>Enseignement spécialisé primaire libre Le Piolet	Rue Ferrer 159, 7100 HAINE-SAINT-PAUL, Belgium
<td>Ecole primaire d'enseignement spécialisé communal Le Clair Logis	Rue de Baume 114, 7100 LA LOUVIERE, Belgium
<td>Enseignement spécialisé primaire libre Le Piolet	Rue de la Franco-Belge 55, 7100 LA LOUVIERE, Belgium
<td>Ecole primaire d'enseignement spécialisé communal Le Clair Logis	Rue des Rentiers 152, 7100 LA LOUVIERE, Belgium
<td>Enseignement spécialisé primaire de la Communauté française L'envolée	Rue du Pensionnat 20, 7100 LA LOUVIERE, Belgium
<td>Institut médico-pédagogique provincial René Thoné La Louvière	Rue du Temple 3-5, 7100 LA LOUVIERE, Belgium
<td>Enseignement primaire spécialisé libre Ecole Régionale	Rue de Clerfayt 104, 7131 WAUDREZ, Belgium
<td>Centre provincial d'enseignement fondamental spécialisé L'Orée du Bois	Rue de Mons 63, 7301 HORNU, Belgium
<td>Le Plein Air Enseignement fondamental spécialisé libre	Rue du Berchon 163, 7340 WASMES, Belgium
<td>Etablissement d'enseignement spécialisé fondamental de la Communauté française	Rue du Plat Rie 345, 7390 QUAREGNON, Belgium
