name	address
ACADEMIE PROVINCIALE DES METIERS	Boulevard Président Kennedy 10, 7000, Belgium
ATHENEE PROVINCIAL JEAN D'AVESNES	Avenue du Gouverneur E. Cornez 1, 7000, Belgium
ATHENEE ROYAL MARGUERITE BERVOETS	Avenue Victor Maistriau 11, 7000, Belgium
ATHENEE ROYAL MONS I	Rue de l'Athénée 4, 7000, Belgium
CENTRE SCOLAIRE SAINT-STANISLAS	Rue des Dominicains 15, 7000, Belgium
ECOLE DU FUTUR	Rue des Etampes 2, 7000, Belgium
INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL PROVINCIAL	Boulevard Président Kennedy 2A, 7000, Belgium
INSTITUT DE LA SAINTE-FAMILLE	Avenue du Tir 12, 7000, Belgium
INSTITUT DU SACRE COEUR - ENSEIGNEMENT SECONDAIRE GENERAL	Rue des Dominicains 9, 7000, Belgium
INSTITUT SAINT-LUC	Rue Saint-Luc 3, 7000, Belgium
INSTITUT TECHNIQUE DES URSULINES	Avenue du Tir 12, 7000, Belgium
INSTITUT TECHNIQUE SAINT-LUC	Rue Saint-Luc 3, 7000, Belgium
ECOLE DU SHAPE SECTION BELGE	Avenue de Paris 705, 7010, Belgium
INSTITUT SAINT-FERDINAND	Avenue Maréchal Foch 824, 7012, Belgium
ATHENEE ROYAL JULES BORDET	Boulevard Roosevelt 27, 7060, Belgium
COLLEGE SAINT-VINCENT - 2e-3e DEGRES	Chaussée de Braine 22, 7060, Belgium
COLLEGE SAINT-VINCENT - DOA	Chaussée de Braine 22, 7060, Belgium
INSTITUT TECHNIQUE SAINT-VINCENT	Chaussée de Braine 22, 7060, Belgium
LYCEE PROVINCIAL DES SCIENCES ET DES TECHNOLOGIES	Rue de la Station 59, 7060, Belgium
INSTITUT NOTRE-DAME DE BONNE-ESPERANCE	Rue des Postes 101, 7090, Belgium
INSTITUT TECHNIQUE SAINT-GABRIEL	Rue de Mons 80, 7090, Belgium
ATHENEE PROVINCIAL	Boulevard du Tivoli 2B, 7100, Belgium
ATHENEE ROYAL LA LOUVIERE	Rue de Bouvy 15, 7100, Belgium
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE LEON HUREZ	Rue de Bonne Espérance 1, 7100, Belgium
INSTITUT PROVINCIAL DE NURSING DU CENTRE	Rue Ernest Milcamps 13B, 7100, Belgium
INSTITUT SAINT-JOSEPH (D2-D3)	Rue Gustave Boël 55, 7100, Belgium
INSTITUT SAINT-JOSEPH D.O.A.	Rue Gustave Boël 55, 7100, Belgium
INSTITUT SAINTE-MARIE	Rue de Bouvy 35, 7100, Belgium
INSTITUT TECHNIQUE SAINT-JOSEPH (D2-D3)	Rue Gustave Boël 23, 7100, Belgium
SEMINAIRE DE BONNE-ESPERANCE	Rue Grégoire Jurion 22, 7120, Belgium
ATHENEE ROYAL DE BINCHE	Place des Droits de l'Homme 16, 7130, Belgium
COLLEGE NOTRE-DAME DE BON SECOURS	Rue de Merbes 25, 7130, Belgium
INSTITUT PROVINCIAL D'ENSEIGNEMENT CHARLES DELIEGE	Rue des Archers 12, 7130, Belgium
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DE MORLANWELZ	Rue Raoul Warocqué 46, 7140, Belgium
ATHENEE PROVINCIAL WAROCQUE	Rue de l'Enseignement 8-10, 7140, Belgium
INSTITUT SAINTE-THERESE	Grand'Rue 79, 7170, Belgium
INSTITUT TECHNIQUE ET COMMERCIAL DES AUMONIERS DU TRAVAIL	Rue de Caraman 13, 7300, Belgium
INSTITUT D'ENSEIGNEMENT SECONDAIRE COMPLEMENTAIRE CATHOLIQUE - I.E.S.C.A.	Rue de Mons 63, 7301, Belgium
ATHENEE ROYAL SAINT-GHISLAIN	Avenue de l'Enseignement 20, 7330, Belgium
COLLEGE SAINTE-MARIE	Rue du Port 115-127, 7330, Belgium
INSTITUT SAINT-JOSEPH	Avenue de l'Enseignement 10, 7330, Belgium
LYCEE DE LA COMMUNAUTE FRANCAISE CHARLES PLISNIER	Rue de Sas 75, 7330, Belgium
LYCEE PROVINCIAL D'ENSEIGNEMENT TECHNIQUE DU HAINAUT	Avenue de l'Enseignement 45, 7330, Belgium
LYCEE PROVINCIAL HORNU COLFONTAINE	Avenue Fénélon 48, 7340, Belgium
ATHENEE ROYAL DOUR	Rue de l'Athénée 23, 7370, Belgium
INSTITUT DE LA SAINTE-UNION	Rue du Roi Albert 10, 7370, Belgium
ATHENEE ROYAL DE QUIEVRAIN	Rue Debast 26, 7380, Belgium
CENTRE SCOLAIRE DON BOSCO	Rue Grande 21, 7380, Belgium
INSTITUT COMMUNAL D'ENSEIGNEMENT SECONDAIRE	Grand-Place 3, 7390, Belgium
