name	lat	long
ACADEMIE PROVINCIALE DES METIERS	50.4609059	3.959597399999999
ATHENEE PROVINCIAL JEAN D'AVESNES	50.4486265	3.9646673
ATHENEE ROYAL MARGUERITE BERVOETS	50.4613187	3.9559955
ATHENEE ROYAL MONS I	50.4521224	3.9451916
CENTRE SCOLAIRE SAINT-STANISLAS	50.4572645	3.9500668
ECOLE DU FUTUR	50.45662129999999	3.9527742
INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL PROVINCIAL	50.45635420000001	3.9613966
INSTITUT DE LA SAINTE-FAMILLE	50.46070770000001	3.961074
INSTITUT DU SACRE COEUR - ENSEIGNEMENT SECONDAIRE GENERAL	50.4566297	3.9497888
INSTITUT SAINT-LUC	50.4547748	3.9634063
INSTITUT TECHNIQUE DES URSULINES	50.45891109999999	3.9627815
INSTITUT TECHNIQUE SAINT-LUC	50.4547748	3.9634063
ECOLE DU SHAPE SECTION BELGE	48.856614	2.3522219
INSTITUT SAINT-FERDINAND	50.4477799	3.8846257
ATHENEE ROYAL JULES BORDET	50.5774358	4.0680762
COLLEGE SAINT-VINCENT - 2e-3e DEGRES	50.5808852	4.0760165
COLLEGE SAINT-VINCENT - DOA	50.5808852	4.0760165
INSTITUT TECHNIQUE SAINT-VINCENT	50.5810391	4.0760551
LYCEE PROVINCIAL DES SCIENCES ET DES TECHNOLOGIES	50.57574839999999	4.069507
INSTITUT NOTRE-DAME DE BONNE-ESPERANCE	50.6093229	4.1278614
INSTITUT TECHNIQUE SAINT-GABRIEL	50.6061194	4.1329248
ATHENEE PROVINCIAL	50.4756424	4.19792
ATHENEE ROYAL LA LOUVIERE	50.4731092	4.1863636
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE LEON HUREZ	50.47012489999999	4.1857689
INSTITUT PROVINCIAL DE NURSING DU CENTRE	50.4784426	4.1926527
INSTITUT SAINT-JOSEPH (D2-D3)	50.4788945	4.1735381
INSTITUT SAINT-JOSEPH D.O.A.	50.4788945	4.1735381
INSTITUT SAINTE-MARIE	50.4703933	4.1880914
INSTITUT TECHNIQUE SAINT-JOSEPH (D2-D3)	50.4768061	4.1737168
SEMINAIRE DE BONNE-ESPERANCE	50.38624189999999	4.143856599999999
ATHENEE ROYAL DE BINCHE	50.4155262	4.176574899999999
COLLEGE NOTRE-DAME DE BON SECOURS	50.4106955	4.169955
INSTITUT PROVINCIAL D'ENSEIGNEMENT CHARLES DELIEGE	50.4146167	4.165368
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DE MORLANWELZ	50.4572933	4.2449007
ATHENEE PROVINCIAL WAROCQUE	50.4606733	4.249404999999999
INSTITUT SAINTE-THERESE	50.5018101	4.2338847
INSTITUT TECHNIQUE ET COMMERCIAL DES AUMONIERS DU TRAVAIL	50.43432139999999	3.7943851
INSTITUT D'ENSEIGNEMENT SECONDAIRE COMPLEMENTAIRE CATHOLIQUE - I.E.S.C.A.	50.435723	3.829036
ATHENEE ROYAL SAINT-GHISLAIN	50.4444919	3.8169444
COLLEGE SAINTE-MARIE	50.4516338	3.8149612
INSTITUT SAINT-JOSEPH	50.4466085	3.818358
LYCEE DE LA COMMUNAUTE FRANCAISE CHARLES PLISNIER	50.4492999	3.8132124
LYCEE PROVINCIAL D'ENSEIGNEMENT TECHNIQUE DU HAINAUT	50.4446834	3.8190983
LYCEE PROVINCIAL HORNU COLFONTAINE	50.4062894	3.863199
ATHENEE ROYAL DOUR	50.4018355	3.780340499999999
INSTITUT DE LA SAINTE-UNION	50.3971002	3.777337499999999
ATHENEE ROYAL DE QUIEVRAIN	50.4071401	3.6848552
CENTRE SCOLAIRE DON BOSCO	50.4079235	3.6800105
INSTITUT COMMUNAL D'ENSEIGNEMENT SECONDAIRE	50.443578	3.8640413
