name	address
<td>Centre provincial d'enseignement spécialisé à Mons	Chemin du Chêne aux haies 24, 7000 MONS, Belgium
<td>Centre provincial d'enseignement spécialisé à Mons	Rue du Temple 2, 7011 GHLIN, Belgium
<td>Saint-Vincent - Enseignement secondaire spécialisé	Rue de France 39, 7034 OBOURG, Belgium
<td>Etablissement d'enseignement professionnel spécialisé communal	Chemin à Rocs 4, 7060 HORRUES, Belgium
<td>Ecole d'enseignement secondaire spécialisé communal EPSIS Roger Roch	Rue Auguste Brichant 60, 7100 LA LOUVIERE, Belgium
<td>L'A.M.I. - ASBL Centre d'adaptation sociale et professionnelle. Institut d'enseignement technique spécialisé	Rue Gustave Boël 25A, 7100 LA LOUVIERE, Belgium
<td>Institut médico-pédagogique provincial René Thoné La Louvière	Rue du Temple 3-5, 7100 LA LOUVIERE, Belgium
<td>Ecole Les Rocailles - Enseignement secondaire spécialisé libre	Rue Salvotte, 7110 HOUDENG-AIMERIES, Belgium
<td>Enseignement secondaire spécialisé Le Snark	Rue du Vivier 43, 7110 HOUDENG-AIMERIES, Belgium
<td>La Cordée Enseignement professionnel spécialisé libre	Rue du Berchon 159, 7340 WASMES, Belgium
<td>La Clairière Enseignement professionnel spécialisé libre	Rue du Berchon 161, 7340 WASMES, Belgium
<td>Etablissement d'enseignement spécialisé primaire et secondaire de la Communauté française	Rue du Plat Rie 345, 7390 QUAREGNON, Belgium
