name	lat	long
<td>Centre provincial d'enseignement spécialisé à Mons	50.4624854	3.9818092
<td>Centre provincial d'enseignement spécialisé à Mons	50.4718332	3.9119938
<td>Saint-Vincent - Enseignement secondaire spécialisé	50.4725066	4.0134846
<td>Etablissement d'enseignement professionnel spécialisé communal	50.60921	4.037704
<td>Ecole d'enseignement secondaire spécialisé communal EPSIS Roger Roch	50.4844237	4.2100635
<td>L'A.M.I. - ASBL Centre d'adaptation sociale et professionnelle. Institut d'enseignement technique spécialisé	50.4782999	4.1760393
<td>Institut médico-pédagogique provincial René Thoné La Louvière	50.47667	4.1886455
<td>Ecole Les Rocailles - Enseignement secondaire spécialisé libre	50.48418239999999	4.1499934
<td>Enseignement secondaire spécialisé Le Snark	50.4738336	4.1489429
<td>La Cordée Enseignement professionnel spécialisé libre	50.4126949	3.8180881
<td>La Clairière Enseignement professionnel spécialisé libre	50.41279129999999	3.817726
<td>Etablissement d'enseignement spécialisé primaire et secondaire de la Communauté française	50.4233625	3.8547477
