name	street	cp	city	address	osm	lat	long	tel
ACADEMIE PROVINCIALE DES METIERS	Bld Président Kennedy , 10	7000	MONS	Boulevard du Président Kennedy , 10 7000 MONS	"[{""place_id"":109515513,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":99267589,""boundingbox"":[""50.4601535"",""50.4619263"",""3.9587288"",""3.9608628""],""lat"":""50.46101"",""lon"":""3.9597276687316842"",""display_name"":""Académie Provinciale des Métiers, 10, Boulevard du Président Kennedy, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7032, België - Belgique - Belgien"",""class"":""amenity"",""type"":""school"",""importance"":0.611,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_school.p.20.png""}]"	50.46101	3.9597276687316842	065-398979
ATHENEE PROVINCIAL JEAN D'AVESNES	Av du Gouverneur E. Cornez , 1	7000	MONS	Avenue du Gouverneur Emile Cornez , 1 7000 MONS	"[{""place_id"":186094008,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":443151579,""boundingbox"":[""50.4485313"",""50.4486501"",""3.9620728"",""3.9622388""],""lat"":""50.4486035"",""lon"":""3.9621411"",""display_name"":""Avenue du Gouverneur Émile Cornez, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7032, België - Belgique - Belgien"",""class"":""highway"",""type"":""tertiary"",""importance"":0.6},{""place_id"":185696073,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":435600649,""boundingbox"":[""50.4440272"",""50.4481874"",""3.9620698"",""3.9632535""],""lat"":""50.445978"",""lon"":""3.9632356"",""display_name"":""Avenue du Gouverneur Émile Cornez, Le clos des provinces de France, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""highway"",""type"":""tertiary"",""importance"":0.6},{""place_id"":141120843,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":231365097,""boundingbox"":[""50.4428937"",""50.4440272"",""3.9619141"",""3.9620855""],""lat"":""50.4434719"",""lon"":""3.9619449"",""display_name"":""Avenue du Gouverneur Émile Cornez, L'Île aux Oiseaux, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""highway"",""type"":""tertiary"",""importance"":0.6}]"	50.4486035	3.9621411	065-400101
ATHENEE ROYAL MARGUERITE BERVOETS	Avenue Victor Maistriau , 11	7000	MONS	Avenue Victor Maistriau , 11 7000 MONS	"[{""place_id"":106362087,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":83934897,""boundingbox"":[""50.4609864"",""50.4628792"",""3.9530451"",""3.9571142""],""lat"":""50.461991999999995"",""lon"":""3.95506105397039"",""display_name"":""Athénée Royal Marguerite Bervoets, 11, Avenue Victor Maistriau, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""amenity"",""type"":""school"",""importance"":0.511,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_school.p.20.png""},{""place_id"":14157577,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":1297036522,""boundingbox"":[""50.4610726"",""50.4611726"",""3.9545395"",""3.9546395""],""lat"":""50.4611226"",""lon"":""3.9545895"",""display_name"":""Mons Lycée, 11, Avenue Victor Maistriau, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""highway"",""type"":""bus_stop"",""importance"":0.511,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/transport_bus_stop2.p.20.png""},{""place_id"":182878254,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":417807933,""boundingbox"":[""50.4610495"",""50.4612611"",""3.9557118"",""3.956286""],""lat"":""50.4611587"",""lon"":""3.9559655858905645"",""display_name"":""Avenue Victor Maistriau, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, België - Belgique - Belgien"",""class"":""highway"",""type"":""residential"",""importance"":0.5}]"	50.461991999999995	3.95506105397039	065-408070
ATHENEE ROYAL MONS I	Rue de l'Athénée , 4	7000	MONS	Rue de l'Athénée , 4 7000 MONS	"[{""place_id"":144432696,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":240546454,""boundingbox"":[""50.4519375"",""50.4532535"",""3.943526"",""3.945813""],""lat"":""50.4525904"",""lon"":""3.944991411700152"",""display_name"":""Athénée Royal de Mons, 4, Rue de l'Athénée, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""amenity"",""type"":""school"",""importance"":0.611,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_school.p.20.png""}]"	50.4525904	3.944991411700152	065-404070
CENTRE SCOLAIRE SAINT-STANISLAS	Rue des Dominicains , 15	7000	MONS	Rue des Dominicains , 15 7000 MONS	"[{""place_id"":89174637,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":23148837,""boundingbox"":[""50.4559531"",""50.4576672"",""3.9496381"",""3.9508589""],""lat"":""50.4569087"",""lon"":""3.9503044"",""display_name"":""Rue des Dominicains, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""highway"",""type"":""residential"",""importance"":0.5}]"	50.4569087	3.9503044	065-401250
ECOLE DU FUTUR	Rue des Etampes , 2	7000	MONS	Rue des Etampes , 2 7000 MONS	"[{""place_id"":38412288,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":2919833935,""boundingbox"":[""50.4568666"",""50.4569666"",""3.9525498"",""3.9526498""],""lat"":""50.4569166"",""lon"":""3.9525998"",""display_name"":""2, Rue des Etampes, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""place"",""type"":""house"",""importance"":0.511}]"	50.4569166	3.9525998	065-335851
INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL PROVINCIAL	Bld Président Kennedy , 2A	7000	MONS	Boulevard du Président Kennedy , 2A 7000 MONS	"[{""place_id"":186028265,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":440943134,""boundingbox"":[""50.4555801"",""50.4568079"",""3.9609973"",""3.9638304""],""lat"":""50.45626035"",""lon"":""3.9624311291837455"",""display_name"":""Institut d'Enseignement Secondaire Paramédical Provincial, 2A, Boulevard du Président Kennedy, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7032, België - Belgique - Belgien"",""class"":""amenity"",""type"":""school"",""importance"":0.611,""icon"":""https://nominatim.openstreetmap.org/images/mapicons/education_school.p.20.png""}]"	50.45626035	3.9624311291837455	065-328900
INSTITUT DE LA SAINTE-FAMILLE	Avenue du Tir , 12	7000	MONS	Avenue du Tir , 12 7000 MONS	"[{""place_id"":95316819,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":37195952,""boundingbox"":[""50.460034"",""50.4634674"",""3.9598676"",""3.9646233""],""lat"":""50.4617354"",""lon"":""3.9622243"",""display_name"":""Avenue du Tir, Direction générale régionale de Mons-Borinage des Enseignements de la Province de Hainaut, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""highway"",""type"":""residential"",""importance"":0.5}]"	50.4617354	3.9622243	065-402323
INSTITUT DU SACRE COEUR - ENSEIGNEMENT SECONDAIRE GENERAL	Rue des Dominicains , 9	7000	MONS	Rue des Dominicains , 9 7000 MONS	"[{""place_id"":89174637,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":23148837,""boundingbox"":[""50.4559531"",""50.4576672"",""3.9496381"",""3.9508589""],""lat"":""50.4569087"",""lon"":""3.9503044"",""display_name"":""Rue des Dominicains, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7024, België - Belgique - Belgien"",""class"":""highway"",""type"":""residential"",""importance"":0.5}]"	50.4569087	3.9503044	065-402844
INSTITUT SAINT-LUC	Rue Saint-Luc , 3	7000	MONS	Rue Saint-Luc , 3 7000 MONS	"[{""place_id"":111532685,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":111267008,""boundingbox"":[""50.454851"",""50.4549699"",""3.9611334"",""3.9617771""],""lat"":""50.454851"",""lon"":""3.9617771"",""display_name"":""Rue Saint Luc, Quartier Rachot, La Masure, Mons, Hainaut, Wallonie, 7032, België - Belgique - Belgien"",""class"":""highway"",""type"":""residential"",""importance"":0.6}]"	50.454851	3.9617771	065-337121
