name	address
ATHENEE ROYAL ERNEST SOLVAY	Boulevard Emile Devreux 27, 6000 CHARLEROI, Belgium
ATHENEE ROYAL VAUBAN	Rue Emile Tumelaire 12, 6000 CHARLEROI, Belgium
CENTRE EDUCATIF COMMUNAL SECONDAIRE "LA GARENNE"	Rue de Lodelinsart 200, 6000 CHARLEROI, Belgium
CENTRE SCOLAIRE DU SACRE-COEUR	Boulevard Audent 58, 6000 CHARLEROI, Belgium
COLLEGE DES AUMONIERS DU TRAVAIL DE CHARLEROI	Grand'rue 185, 6000 CHARLEROI, Belgium
INSTITUT D'ENSEIGNEMENT TECHNIQUE NOTRE-DAME	Rue de la Science 50-62, 6000 CHARLEROI, Belgium
INSTITUT NOTRE-DAME	Rue de Marcinelle 41, 6000 CHARLEROI, Belgium
INSTITUT SAINT-ANDRE	Rue du Parc 6, 6000 CHARLEROI, Belgium
INSTITUT SAINT-JOSEPH	Boulevard de l'Yser 12, 6000 CHARLEROI, Belgium
Université du Travail - Institut Jean Jaurès	Rue de la Broucheterre 52B, 6000 CHARLEROI, Belgium
Université du Travail - Institut d'enseignement technique secondaire	Boulevard Gustave Roullier 1, 6000 CHARLEROI, Belgium
ATHENEE ROYAL JULES DESTREE	Rue des Haies 76, 6001 MARCINELLE, Belgium
Centre éducatif communal secondaire de Couillet-Marcinelle	Route de Philippeville 304, 6010 COUILLET, Belgium
ATHENEE ROYAL YVONNE VIESLET	Rue des Remparts 35, 6030 MARCHIENNE-AU-PONT, Belgium
COLLEGE DE L'ALLIANCE	Rue de Mons 106, 6031 MONCEAU-SUR-SAMBRE, Belgium
ATHENEE ROYAL ORSINI DEWERPE	Rue Gendebien 1, 6040 JUMET, Belgium
CENTRE SCOLAIRE SAINT-JOSEPH - NOTRE-DAME	Rue Emile Strimelle 1, 6040 JUMET, Belgium
ATHENEE ROYAL LES MARLAIRES	Rue de la Providence 12, 6041 GOSSELIES, Belgium
Collège Saint-Michel	Faubourg de Charleroi 15, 6041 GOSSELIES, Belgium
Institut Sainte-Anne	Rue Circulaire 5, 6041 GOSSELIES, Belgium
Institut de la Providence Humanités	Faubourg de Bruxelles 105, 6041 GOSSELIES, Belgium
ATHENEE ROYAL GILLY	Rue du Calvaire 20, 6060 GILLY, Belgium
LYCEE MIXTE FRANCOIS DE SALES	Rue des Vallées 18, 6060 GILLY, Belgium
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL LA SAMARITAINE	Rue Samaritaine 14, 6061 MONTIGNIES-SUR-SAMBRE, Belgium
ATHENEE ROYAL LOUIS DELATTRE	Rue de l'Athénée 32, 6140 FONTAINE-L'EVEQUE, Belgium
INSTITUT SAINTE-MARIE	Rue de l'Enseignement 1, 6140 FONTAINE-L'EVEQUE, Belgium
ATHENEE ROYAL PIERRE PAULUS	Rue des Gaux 100, 6200 CHATELET, Belgium
ATHENEE ROYAL RENE MAGRITTE	Rue du Collège 16, 6200 CHATELET, Belgium
INSTITUT SAINT-JOSEPH	Place Jean Guyot 1, 6200 CHATELET, Belgium
INSTITUT SAINTE-MARIE	Rue Neuve 26, 6200 CHATELET, Belgium
COLLEGE SAINT PIE X	Rue Lloyd George 15, 6200 CHATELINEAU, Belgium
INSTITUT SAINTE-MARIE	Place d'Arenberg 20, 6200 CHATELINEAU, Belgium
INSTITUT SAINTE-MARIE	Rue de l'Eglise 7, 6210 REVES, Belgium
ATHENEE ROYAL JOURDAN	Rue de Fleurjoux 3, 6220 FLEURUS, Belgium
INSTITUT NOTRE-DAME	Rue de Bruxelles 97, 6220 FLEURUS, Belgium
ATHENEE ROYAL PONT-A-CELLES	Rue de l'Eglise 107B, 6230 PONT-A-CELLES, Belgium
Collège Saint-Augustin	Avenue Astrid 13, 6280 GERPINNES, Belgium
INSTITUT NOTRE-DAME DE LOVERVAL	Chaussée de Philippeville 35, 6280 GERPINNES, Belgium
ATHENEE ROYAL DE CHIMAY	Rue de Noailles 3, 6460 CHIMAY, Belgium
COLLEGE SAINT-JOSEPH	Rue de Virelles 75, 6460 CHIMAY, Belgium
INSTITUT NOTRE-DAME	Rue de Virelles 75, 6460 CHIMAY, Belgium
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DAVID LACHMAN	Rue Pauline Hubert 40, 6470 RANCE, Belgium
ATHENEE ROYAL SIMONE VEIL	Rue Germain Michiels 3, 6500 BEAUMONT, Belgium
INSTITUT PARIDAENS	Grand Place 12, 6500 BEAUMONT, Belgium
ATHENEE ROYAL THUIN	Drève des Alliés 11, 6530 THUIN, Belgium
INSTITUT NOTRE-DAME	Grand'Rue 68, 6530 THUIN, Belgium
ECOLE D'ARTS ET METIERS	Rue Sainte-Thérèse 47, 6560 ERQUELINNES, Belgium
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE ERQUELINNES	Rue Albert Ier 21, 6560 ERQUELINNES, Belgium
ACADEMIE PROVINCIALE DES METIERS	Boulevard Président Kennedy 10, 7000 MONS, Belgium
ATHENEE PROVINCIAL JEAN D'AVESNES	Avenue du Gouverneur E. Cornez 1, 7000 MONS, Belgium
ATHENEE ROYAL MARGUERITE BERVOETS	Avenue Victor Maistriau 11, 7000 MONS, Belgium
ATHENEE ROYAL MONS I	Rue de l'Athénée 4, 7000 MONS, Belgium
CENTRE SCOLAIRE SAINT-STANISLAS	Rue des Dominicains 15, 7000 MONS, Belgium
ECOLE DU FUTUR	Rue des Etampes 2, 7000 MONS, Belgium
INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL PROVINCIAL	Boulevard Président Kennedy 2A, 7000 MONS, Belgium
INSTITUT DE LA SAINTE-FAMILLE	Avenue du Tir 12, 7000 MONS, Belgium
INSTITUT DU SACRE COEUR - ENSEIGNEMENT SECONDAIRE GENERAL	Rue des Dominicains 9, 7000 MONS, Belgium
INSTITUT SAINT-LUC	Rue Saint-Luc 3, 7000 MONS, Belgium
INSTITUT TECHNIQUE DES URSULINES	Avenue du Tir 12, 7000 MONS, Belgium
INSTITUT TECHNIQUE SAINT-LUC	Rue Saint-Luc 3, 7000 MONS, Belgium
ECOLE DU SHAPE SECTION BELGE	Avenue de Paris 705, 7010 SHAPE, Belgium
INSTITUT SAINT-FERDINAND	Avenue Maréchal Foch 824, 7012 JEMAPPES, Belgium
ATHENEE ROYAL JULES BORDET	Boulevard Roosevelt 27, 7060 SOIGNIES, Belgium
COLLEGE SAINT-VINCENT - 2e-3e DEGRES	Chaussée de Braine 22, 7060 SOIGNIES, Belgium
COLLEGE SAINT-VINCENT - DOA	Chaussée de Braine 22, 7060 SOIGNIES, Belgium
INSTITUT TECHNIQUE SAINT-VINCENT	Chaussée de Braine 22, 7060 SOIGNIES, Belgium
LYCEE PROVINCIAL DES SCIENCES ET DES TECHNOLOGIES	Rue de la Station 59, 7060 SOIGNIES, Belgium
INSTITUT NOTRE-DAME DE BONNE-ESPERANCE	Rue des Postes 101, 7090 BRAINE-LE-COMTE, Belgium
INSTITUT TECHNIQUE SAINT-GABRIEL	Rue de Mons 80, 7090 BRAINE-LE-COMTE, Belgium
ATHENEE PROVINCIAL	Boulevard du Tivoli 2B, 7100 LA LOUVIERE, Belgium
ATHENEE ROYAL LA LOUVIERE	Rue de Bouvy 15, 7100 LA LOUVIERE, Belgium
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE LEON HUREZ	Rue de Bonne Espérance 1, 7100 LA LOUVIERE, Belgium
INSTITUT PROVINCIAL DE NURSING DU CENTRE	Rue Ernest Milcamps 13B, 7100 LA LOUVIERE, Belgium
INSTITUT SAINT-JOSEPH (D2-D3)	Rue Gustave Boël 55, 7100 LA LOUVIERE, Belgium
INSTITUT SAINT-JOSEPH D.O.A.	Rue Gustave Boël 55, 7100 LA LOUVIERE, Belgium
INSTITUT SAINTE-MARIE	Rue de Bouvy 35, 7100 LA LOUVIERE, Belgium
INSTITUT TECHNIQUE SAINT-JOSEPH (D2-D3)	Rue Gustave Boël 23, 7100 LA LOUVIERE, Belgium
SEMINAIRE DE BONNE-ESPERANCE	Rue Grégoire Jurion 22, 7120 VELLEREILLE-LES-BRAYEUX, Belgium
ATHENEE ROYAL DE BINCHE	Place des Droits de l'Homme 16, 7130 BINCHE, Belgium
COLLEGE NOTRE-DAME DE BON SECOURS	Rue de Merbes 25, 7130 BINCHE, Belgium
INSTITUT PROVINCIAL D'ENSEIGNEMENT CHARLES DELIEGE	Rue des Archers 12, 7130 BINCHE, Belgium
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE DE MORLANWELZ	Rue Raoul Warocqué 46, 7140 MORLANWELZ, Belgium
ATHENEE PROVINCIAL WAROCQUE	Rue de l'Enseignement 8-10, 7140 MORLANWELZ-MARIEMONT, Belgium
INSTITUT SAINTE-THERESE	Grand'Rue 79, 7170 MANAGE, Belgium
INSTITUT TECHNIQUE ET COMMERCIAL DES AUMONIERS DU TRAVAIL	Rue de Caraman 13, 7300 BOUSSU, Belgium
INSTITUT D'ENSEIGNEMENT SECONDAIRE COMPLEMENTAIRE CATHOLIQUE - I.E.S.C.A.	Rue de Mons 63, 7301 HORNU, Belgium
ATHENEE ROYAL SAINT-GHISLAIN	Avenue de l'Enseignement 20, 7330 SAINT-GHISLAIN, Belgium
COLLEGE SAINTE-MARIE	Rue du Port 115-127, 7330 SAINT-GHISLAIN, Belgium
INSTITUT SAINT-JOSEPH	Avenue de l'Enseignement 10, 7330 SAINT-GHISLAIN, Belgium
LYCEE DE LA COMMUNAUTE FRANCAISE CHARLES PLISNIER	Rue de Sas 75, 7330 SAINT-GHISLAIN, Belgium
LYCEE PROVINCIAL D'ENSEIGNEMENT TECHNIQUE DU HAINAUT	Avenue de l'Enseignement 45, 7330 SAINT-GHISLAIN, Belgium
LYCEE PROVINCIAL HORNU COLFONTAINE	Avenue Fénélon 48, 7340 PATURAGES, Belgium
ATHENEE ROYAL DOUR	Rue de l'Athénée 23, 7370 DOUR, Belgium
INSTITUT DE LA SAINTE-UNION	Rue du Roi Albert 10, 7370 DOUR, Belgium
ATHENEE ROYAL DE QUIEVRAIN	Rue Debast 26, 7380 QUIEVRAIN, Belgium
CENTRE SCOLAIRE DON BOSCO	Rue Grande 21, 7380 QUIEVRAIN, Belgium
INSTITUT COMMUNAL D'ENSEIGNEMENT SECONDAIRE	Grand-Place 3, 7390 QUAREGNON, Belgium
ATHENEE ROYAL JULES BARA	Rue Duquesnoy 24, 7500 TOURNAI, Belgium
ATHENEE ROYAL ROBERT CAMPIN	Rue du Château 18, 7500 TOURNAI, Belgium
CENTRE EDUCATIF DE LA SAINTE-UNION	Chaussée de Lille 12, 7500 TOURNAI, Belgium
COLLEGE NOTRE-DAME	Rue des Augustins 30, 7500 TOURNAI, Belgium
INSTITUT D'ENSEIGNEMENT SECONDAIRE PROVINCIAL PARAMEDICAL	Rue de la Lys 1, 7500 TOURNAI, Belgium
INSTITUT DES TECHNIQUES HOSPITALIERES (I.T.E.H.O) JEANNE D'ARC	Quai des Salines 28, 7500 TOURNAI, Belgium
INSTITUT DES URSULINES - LA MADELEINE	Rue des Carmes 10, 7500 TOURNAI, Belgium
INSTITUT DON BOSCO	Boulevard Léopold 63, 7500 TOURNAI, Belgium
INSTITUT NOTRE-DAME	Rue du Four Chapitre 3, 7500 TOURNAI, Belgium
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE	Boulevard Léopold 92B, 7500 TOURNAI, Belgium
